CI Name (aff);CI Type (aff);CI Subtype (aff);Service Component WBS (aff);Incident ID;Status;Impact;Urgency;Priority;Category;KM number;Alert Status;# Reassignments;Open Time;Reopen Time;Resolved Time;Close Time;Handle Time (Hours);Closure Code;# Related Interactions;Related Interaction;# Related Incidents;# Related Changes;Related Change;CI Name (CBy);CI Type (CBy);CI Subtype (CBy);ServiceComp WBS (CBy);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUB000508;subapplication;Web Based Application;WBS000162;IM0002535;Closed;5;5;5;incident;KM0000553;closed;13;03/10/2013 16:26:00;;10/12/2013 08:08:36;10/12/2013 08:08:44;495,7122222;Software;1;SD0005167;;;;#N/B;#N/B;#N/B;#N/B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WBA000094;application;Web Based Application;WBS000073;IM0002536;Closed;4;4;4;incident;KM0001732;closed;0;03/10/2013 16:28:28;;05/12/2013 08:30:06;05/12/2013 08:31:00;464,5422222;Other;1;SD0005170;;;;WBA000094;application;Web Based Application;WBS000073;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LAP000584;computer;Laptop;WBS000091;IM0002537;Closed;5;5;5;incident;KM0001444;closed;1;03/10/2013 16:38:41;;11/10/2013 09:20:28;11/10/2013 09:20:31;28,16305556;Software;1;SD0005172;;;;LAP000584;computer;Laptop;WBS000091;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBA000607;application;Server Based Application;WBS000263;IM0002538;Closed;5;5;5;request for information;KM0001825;closed;1;03/10/2013 16:49:10;;07/10/2013 08:29:12;07/10/2013 08:29:41;12,67527778;Other;1;SD0005174;;;;SBA000607;application;Server Based Application;WBS000263;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBA000172;application;Server Based Application;WBS000014;IM0002539;Closed;3;3;3;incident;KM0000426;closed;0;03/10/2013 16:55:48;;04/10/2013 11:04:04;04/10/2013 11:04:17;4,641388889;Unknown;1;SD0005173;;;;SBA000172;application;Server Based Application;WBS000014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBA000462;application;Server Based Application;WBS000073;IM0002540;Closed;4;4;4;incident;KM0001828;closed;0;03/10/2013 14:59:27;07/10/2013 15:35:04;09/10/2013 14:36:39;09/10/2013 14:36:42;6,612222222;Software;2;#MULTIVALUE;;;;SBA000462;application;Server Based Application;WBS000073;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WBA000058;application;Web Based Application;WBS000073;IM0002541;Closed;4;4;4;incident;KM0000819;closed;0;03/10/2013 15:08:23;;03/10/2013 16:26:00;03/10/2013 16:26:07;1,295555556;Other;1;SD0004998;;;;WBA000058;application;Web Based Application;WBS000073;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUB000456;subapplication;Web Based Application;WBS000073;IM0002542;Closed;4;4;4;incident;KM0000996;closed;0;03/10/2013 15:12:48;;03/10/2013 17:06:47;03/10/2013 17:06:50;1,900555556;Software;1;SD0005003;;;;SUB000537;subapplication;Web Based Application;WBS000073;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WBA000133;application;Web Based Application;WBS000073;IM0002543;Closed;5;5;5;incident;KM0001313;closed;0;03/10/2013 15:18:10;;21/10/2013 11:26:24;21/10/2013 11:26:29;122,1386111;Other;1;SD0005010;;;;WBA000133;application;Web Based Application;WBS000073;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DTA000048;application;Desktop Application;WBS000218;IM0002544;Closed;4;4;4;incident;KM0001427;closed;0;03/10/2013 15:18:28;;03/10/2013 17:37:16;03/10/2013 17:37:32;0,009444444;Software;1;SD0005001;;;;DTA000048;application;Desktop Application;WBS000218;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LAP000900;computer;Laptop;WBS000091;IM0002545;Closed;4;4;4;incident;KM0000866;closed;2;03/10/2013 15:22:50;;09/10/2013 11:21:41;09/10/2013 11:21:44;18,7;Other;1;SD0005000;;;;LAP000900;computer;Laptop;WBS000091;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBA000458;application;Server Based Application;WBS000073;IM0002546;Closed;4;4;4;incident;KM0001539;closed;0;03/10/2013 15:24:37;;04/10/2013 09:25:09;04/10/2013 09:25:13;4,51;Software;1;SD0005013;;;;SBA000458;application;Server Based Application;WBS000073;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WBA000011;application;Web Based Application;WBS000152;IM0002547;Closed;5;5;5;incident;KM0001454;closed;0;03/10/2013 15:26:28;;04/10/2013 12:38:54;04/10/2013 12:39:59;7,481388889;Software;1;SD0005012;;;;WBA000011;application;Web Based Application;WBS000152;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBA000607;application;Server Based Application;WBS000263;IM0002548;Closed;5;5;5;request for information;KM0001125;closed;4;03/10/2013 15:34:31;;10/10/2013 11:28:27;10/10/2013 11:28:43;48,40333333;Other;1;SD0005017;;;;SAN000184;storage;SAN;WBS000128;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBA000317;application;Server Based Application;WBS000048;IM0002549;Closed;2;2;2;incident;KM0000310;closed;0;03/10/2013 15:35:26;;09/10/2013 08:53:47;09/10/2013 08:53:51;0,131388889;User error;1;SD0005020;;;;SBA000317;application;Server Based Application;WBS000048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBA000689;application;Server Based Application;WBS000228;IM0002550;Closed;5;5;5;request for information;KM0000656;closed;0;03/10/2013 15:40:13;;03/10/2013 17:32:10;03/10/2013 17:32:15;1,867222222;No error - works as designed;1;SD0005021;;;;SBA000689;application;Server Based Application;WBS000228;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBA000462;application;Server Based Application;WBS000073;IM0002551;Closed;4;4;4;incident;KM0001773;closed;1;03/10/2013 15:55:59;;14/10/2013 12:29:43;14/10/2013 12:31:36;69,40166667;Unknown;1;SD0005023;;;;SBA000462;application;Server Based Application;WBS000073;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUB000424;subapplication;Web Based Application;WBS000073;IM0002552;Closed;5;5;5;incident;KM0000703;closed;2;03/10/2013 16:04:26;;04/10/2013 11:14:42;04/10/2013 11:14:45;5,671944444;Other;1;SD0005026;;;;SUB000424;subapplication;Web Based Application;WBS000073;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DCE000077;hardware;DataCenterEquipment;WBS000267;IM0002553;Closed;3;3;3;incident;KM0000182;closed;0;03/10/2013 16:10:50;;04/10/2013 14:15:26;04/10/2013 14:15:30;1,274722222;Hardware;1;SD0005036;;;;DCE000077;hardware;DataCenterEquipment;WBS000267;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WBA000058;application;Web Based Application;WBS000073;IM0002554;Closed;4;4;4;incident;KM0001245;closed;0;03/10/2013 16:13:27;;04/10/2013 08:42:11;04/10/2013 08:42:14;2,979722222;Operator error;1;SD0005037;;;;WBA000058;application;Web Based Application;WBS000073;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBA000834;application;Server Based Application;WBS000223;IM0002555;Closed;4;4;4;incident;KM0000979;closed;0;03/10/2013 16:31:15;;04/10/2013 09:30:23;04/10/2013 09:30:26;3,486388889;Operator error;1;SD0005244;;;;SBA000834;application;Server Based Application;WBS000223;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WBA000133;application;Web Based Application;WBS000073;IM0002556;Closed;4;5;4;incident;KM0000711;closed;6;03/10/2013 16:33:29;;16/10/2013 14:00:46;16/10/2013 14:00:49;24,57;Other;1;SD0005242;;;;WBA000133;application;Web Based Application;WBS000073;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBA000172;application;Server Based Application;WBS000014;IM0002557;Closed;3;3;3;incident;KM0000426;closed;1;03/10/2013 16:35:16;;04/10/2013 07:07:46;04/10/2013 07:08:00;1,412222222;Software;1;SD0005243;;;;SBA000172;application;Server Based Application;WBS000014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUB000456;subapplication;Web Based Application;WBS000073;IM0002558;Closed;4;4;4;incident;KM0000758;closed;0;03/10/2013 16:36:46;;04/10/2013 10:27:19;04/10/2013 10:27:40;4,348333333;Software;1;SD0005248;;;;SUB000456;subapplication;Web Based Application;WBS000073;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBA000729;application;Server Based Application;WBS000101;IM0002559;Closed;4;4;4;incident;KM0000866;closed;0;03/10/2013 16:39:16;;03/10/2013 17:13:04;03/10/2013 17:13:18;0,0075;Software;1;SD0005247;;;;SBA000729;application;Server Based Application;WBS000101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WBA000133;application;Web Based Application;WBS000073;IM0002560;Closed;4;4;4;incident;KM0001394;closed;0;03/10/2013 16:46:51;;04/10/2013 08:16:41;04/10/2013 08:16:43;1,997777778;Software;1;SD0005252;;;;WBA000103;application;Web Based Application;WBS000073;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DTA000035;application;Desktop Application;WBS000222;IM0002561;Closed;5;5;5;request for information;KM0000349;closed;1;03/10/2013 16:49:08;;08/10/2013 09:22:52;08/10/2013 09:22:57;24,06361111;Software;1;SD0005256;;;;DTA000035;application;Desktop Application;WBS000222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MON00015;displaydevice;Monitor;WBS000091;IM0002562;Closed;5;4;4;request for information;KM0001404;closed;3;03/10/2013 16:50:03;;;22/10/2013 16:00:42;55,51972222;Other;1;SD0005255;;;;MON00015;displaydevice;Monitor;WBS000091;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WBA000068;application;Web Based Application;WBS000171;IM0002563;Closed;4;5;4;incident;KM0000395;closed;0;03/10/2013 16:54:00;;04/10/2013 12:23:07;04/10/2013 12:23:14;5,987222222;Other;1;SD0005260;;;;WBA000068;application;Web Based Application;WBS000171;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DTA000025;application;Desktop Application;WBS000110;IM0002564;Closed;4;4;4;incident;KM0000833;closed;0;03/10/2013 16:58:56;;09/10/2013 08:27:47;09/10/2013 08:30:41;32,50555556;No error - works as designed;1;SD0005250;;;;SSW000101;software;System Software;#N/B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DTA000616;application;Desktop Application;WBS000092;IM0002565;Closed;4;4;4;incident;KM0002055;closed;0;03/10/2013 17:00:37;;04/10/2013 09:10:12;04/10/2013 09:10:26;2,663611111;Software;1;SD0005261;;;;SBA000698;application;Server Based Application;WBS000090;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LAP001247;computer;Laptop;WBS000187;IM0002566;Closed;5;5;5;incident;KM0001447;closed;2;03/10/2013 17:06:00;;08/10/2013 13:52:18;08/10/2013 13:52:21;28,2725;Hardware;1;SD0005263;;;;LAP001247;computer;Laptop;WBS000187;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DTA000057;application;Desktop Application;WBS000094;IM0002567;Closed;5;5;5;incident;KM0001716;closed;0;03/10/2013 17:06:50;;04/10/2013 07:50:07;04/10/2013 07:50:10;1,222222222;Operator error;1;SD0005259;;;;DTA000057;application;Desktop Application;WBS000094;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBA000462;application;Server Based Application;WBS000073;IM0002568;Closed;4;4;4;incident;KM0001364;closed;0;03/10/2013 17:18:04;;04/10/2013 08:08:28;04/10/2013 08:08:31;1,340833333;Software;1;SD0005266;;;;SBA000462;application;Server Based Application;WBS000073;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUB000113;subapplication;Server Based Application;WBS000095;IM0002569;Closed;5;5;5;request for information;KM0000225;closed;2;03/10/2013 17:18:17;;04/10/2013 13:20:02;04/10/2013 13:20:05;6,53;User error;1;SD0005267;;;;SSW000101;software;System Software;#N/B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBA000467;application;Server Based Application;WBS000022;IM0002570;Closed;2;2;2;incident;KM0000439;closed;2;03/10/2013 22:56:21;;04/10/2013 08:57:37;04/10/2013 09:09:20;10,21638889;Hardware;1;SD0005274;;;;NEO000001;computer;Neoview Server;WBS000112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBA000842;application;Server Based Application;WBS000199;IM0002571;Closed;3;3;3;incident;KM0000940;closed;0;03/10/2013 23:13:26;;04/10/2013 07:55:36;04/10/2013 07:55:40;0,427777778;Other;1;SD0005275;;;;SSW000101;software;System Software;#N/B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBA000689;application;Server Based Application;WBS000228;IM0002572;Closed;5;5;5;request for information;KM0000656;closed;0;04/10/2013 08:18:28;;04/10/2013 08:44:26;04/10/2013 08:44:30;0,433888889;Software;1;SD0005285;;;;SUB000331;subapplication;Server Based Application;WBS000228;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DTA000024;application;Desktop Application;WBS000093;IM0002573;Closed;4;4;4;incident;KM0000340;closed;5;04/10/2013 08:22:31;;07/10/2013 11:28:58;07/10/2013 11:29:01;13,60833333;Other;1;SD0005283;;;;WBA000148;application;Web Based Application;WBS000172;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBA000017;application;Server Based Application;WBS000099;IM0002574;Closed;3;3;3;incident;KM0000480;closed;0;04/10/2013 08:31:01;;;04/10/2013 08:33:43;0,045;User error;1;SD0005292;;;;SSW000101;software;System Software;#N/B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DTA000025;application;Desktop Application;WBS000110;IM0002575;Closed;5;5;5;request for information;KM0000897;closed;0;04/10/2013 08:31:05;10/10/2013 14:51:23;16/10/2013 07:45:11;16/10/2013 07:45:18;65,425;Software;1;SD0005289;;;;DTA000025;application;Desktop Application;WBS000110;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LAP000406;computer;Laptop;WBS000091;IM0002576;Closed;5;5;5;incident;KM0001444;closed;2;04/10/2013 08:36:16;;08/10/2013 14:33:58;08/10/2013 14:34:03;26,96305556;Hardware;1;SD0005293;;;;LAP000406;computer;Laptop;WBS000091;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUB000443;subapplication;Web Based Application;WBS000125;IM0002577;Closed;4;4;4;incident;KM0000727;closed;3;04/10/2013 08:48:25;;07/10/2013 08:36:24;07/10/2013 08:36:34;6,408055556;Software;1;SD0005288;;;;SUB000443;subapplication;Web Based Application;WBS000125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUB000113;subapplication;Server Based Application;WBS000095;IM0002578;Closed;5;5;5;request for information;KM0000225;closed;0;04/10/2013 08:54:35;;04/10/2013 13:30:18;04/10/2013 13:30:37;4,600555556;User error;1;SD0005300;;;;SSW000101;software;System Software;#N/B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DSK000021;computer;Desktop;WBS000091;IM0002579;Closed;4;4;4;incident;KM0000316;closed;0;04/10/2013 09:03:35;;10/10/2013 11:34:24;10/10/2013 11:34:27;44,51444444;Hardware;1;SD0005305;;;;DSK000021;computer;Desktop;WBS000091;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUB000424;subapplication;Web Based Application;WBS000073;IM0002581;Closed;4;4;4;incident;KM0000847;closed;1;03/10/2013 18:13:31;;04/10/2013 10:27:13;04/10/2013 10:27:16;2,954444444;Software;1;SD0005315;;;;SUB000424;subapplication;Web Based Application;WBS000073;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBA000607;application;Server Based Application;WBS000263;IM0002582;Closed;5;5;5;incident;KM0000592;closed;2;04/10/2013 08:04:27;;04/10/2013 16:23:35;04/10/2013 16:23:39;8,32;Other;1;SD0005320;;;;SBA000607;application;Server Based Application;WBS000263;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DTA000616;application;Desktop Application;WBS000092;IM0002583;Closed;4;4;4;incident;KM0002055;closed;0;04/10/2013 08:17:58;;04/10/2013 08:49:04;04/10/2013 08:49:07;0,519166667;Software;1;SD0005324;;;;SBA000698;application;Server Based Application;WBS000090;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LAP001315;computer;Laptop;WBS000187;IM0002584;Closed;5;5;5;incident;KM0001447;closed;2;04/10/2013 08:34:19;;18/10/2013 08:50:33;18/10/2013 08:50:36;45,19111111;No error - works as designed;1;SD0005331;;;;LAP001315;computer;Laptop;WBS000187;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBA000607;application;Server Based Application;WBS000263;IM0002585;Closed;4;4;4;incident;KM0000592;closed;4;04/10/2013 08:34:51;;08/10/2013 09:56:10;08/10/2013 09:56:13;22,35611111;Other;1;SD0005329;;;;SBA000607;application;Server Based Application;WBS000263;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CBA000009;application;Client Based Application;WBS000098;IM0002586;Closed;4;4;4;incident;KM0001209;closed;2;04/10/2013 08:53:19;;07/10/2013 12:26:27;07/10/2013 12:26:31;7,181388889;Other;1;SD0005328;;;;CBA000009;application;Client Based Application;WBS000098;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DTA000018;application;Desktop Application;WBS000093;IM0002587;Closed;5;5;5;incident;KM0001858;closed;1;04/10/2013 08:59:43;;;08/10/2013 13:23:35;25,39777778;User manual not used;1;SD0005340;;;;DTA000018;application;Desktop Application;WBS000093;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBA000607;application;Server Based Application;WBS000263;IM0002588;Closed;4;4;4;incident;KM0001106;closed;13;04/10/2013 09:01:54;21/10/2013 11:09:41;28/10/2013 11:50:07;28/10/2013 11:50:15;149,7438889;Other;2;#MULTIVALUE;;;;SBA000607;application;Server Based Application;WBS000263;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBA000607;application;Server Based Application;WBS000263;IM0002589;Closed;4;4;4;incident;KM0001106;closed;1;04/10/2013 09:04:56;;04/10/2013 14:52:04;04/10/2013 14:52:07;5,786388889;Other;1;SD0005347;;;;SBA000607;application;Server Based Application;WBS000263;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBA000172;application;Server Based Application;WBS000014;IM0002591;Closed;4;4;4;incident;KM0000426;closed;3;04/10/2013 09:15:01;;04/10/2013 11:15:26;04/10/2013 11:16:35;1,517222222;Other;1;SD0005352;;;;SBA000172;application;Server Based Application;WBS000014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBA000263;application;Server Based Application;WBS000072;IM0002592;Closed;5;5;5;request for information;KM0001807;closed;3;04/10/2013 09:16:44;;08/10/2013 11:44:11;08/10/2013 11:44:15;23,45861111;Other;1;SD0005356;;;;SBA000263;application;Server Based Application;WBS000072;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBA000607;application;Server Based Application;WBS000263;IM0002593;Closed;4;4;4;incident;KM0001106;closed;3;04/10/2013 09:16:47;07/10/2013 13:31:41;07/10/2013 14:12:13;07/10/2013 14:12:18;14,63472222;Other;2;#MULTIVALUE;;;;SBA000607;application;Server Based Application;WBS000263;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DTA000616;application;Desktop Application;WBS000092;IM0002594;Closed;4;4;4;incident;KM0002055;closed;0;04/10/2013 09:26:32;;04/10/2013 13:09:46;04/10/2013 13:10:04;3,725555556;Software;1;SD0005362;;;;SBA000698;application;Server Based Application;WBS000090;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DTA000344;application;Desktop Application;WBS000092;IM0002595;Closed;4;4;4;incident;KM0000462;closed;0;04/10/2013 09:36:20;;04/10/2013 15:55:46;04/10/2013 15:56:21;6,333611111;Other;1;SD0005369;;;;DTA000344;application;Desktop Application;WBS000092;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBA000847;application;Server Based Application;WBS000199;IM0002596;Closed;3;3;3;incident;KM0000940;closed;0;04/10/2013 09:36:53;;04/10/2013 09:40:52;04/10/2013 09:41:05;0,07;User error;1;SD0005518;;;;SSW000101;software;System Software;#N/B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBA000747;application;Server Based Application;WBS000326;IM0002597;Closed;3;3;3;incident;KM0001699;closed;1;04/10/2013 09:45:31;;04/10/2013 15:03:21;04/10/2013 15:03:23;5,297777778;No error - works as designed;1;SD0005521;;;;SBA000747;application;Server Based Application;WBS000326;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBA000659;application;Server Based Application;WBS000128;IM0002598;Closed;4;4;4;incident;KM0002059;closed;0;04/10/2013 09:51:43;;04/10/2013 11:17:38;04/10/2013 11:18:27;1,445555556;Software;1;SD0005531;;;;SBA000659;application;Server Based Application;WBS000128;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CBA000014;application;Client Based Application;WBS000073;IM0002599;Closed;4;4;4;incident;KM0001692;closed;1;04/10/2013 09:51:44;;04/10/2013 13:07:21;04/10/2013 13:07:30;3,262777778;Other;;#N/B;;;;CBA000014;application;Client Based Application;WBS000073;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBA000659;application;Server Based Application;WBS000128;IM0002600;Closed;4;4;4;incident;KM0002059;closed;0;04/10/2013 09:53:29;;04/10/2013 11:45:49;04/10/2013 11:46:44;1,8875;Software;1;SD0005539;;;;SBA000659;application;Server Based Application;WBS000128;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WBA000148;application;Web Based Application;WBS000172;IM0002601;Closed;5;5;5;incident;KM0001979;closed;0;04/10/2013 10:00:48;;04/11/2013 13:08:53;04/11/2013 13:09:05;212,3669444;Other;1;SD0005530;;;;WBA000148;application;Web Based Application;WBS000172;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CBD000303;computer;Banking Device;WBS000146;IM0002602;Closed;4;4;4;incident;KM0000274;closed;1;04/10/2013 10:03:05;;06/10/2013 18:11:00;06/10/2013 18:11:03;7,948611111;Hardware;1;SD0005546;;;;CBD000303;computer;Banking Device;WBS000146;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBA000659;application;Server Based Application;WBS000128;IM0002603;Closed;4;4;4;incident;KM0002059;closed;0;04/10/2013 10:15:22;;04/10/2013 11:45:13;04/10/2013 11:45:19;1,499166667;Software;1;SD0005559;;;;SBA000659;application;Server Based Application;WBS000128;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBA000394;application;Server Based Application;WBS000185;IM0002604;Closed;3;3;3;incident;KM0000384;closed;0;04/10/2013 10:24:44;;04/10/2013 12:52:41;04/10/2013 12:52:44;2,466666667;Software;1;SD0005562;;;;SBA000394;application;Server Based Application;WBS000185;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DTA000302;application;Desktop Application;WBS000092;IM0002605;Closed;5;5;5;incident;KM0001910;closed;0;04/10/2013 10:28:37;;11/10/2013 12:32:28;11/10/2013 12:32:42;0,008888889;Software;1;SD0005566;;;;DTA000302;application;Desktop Application;WBS000092;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBA000458;application;Server Based Application;WBS000073;IM0002606;Closed;5;5;5;incident;KM0001539;closed;0;04/10/2013 10:29:28;;09/10/2013 10:20:30;09/10/2013 10:20:33;31,35138889;User manual not used;1;SD0005563;;;;SBA000458;application;Server Based Application;WBS000073;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DSK000367;computer;Desktop;WBS000091;IM0002607;Closed;4;4;4;incident;KM0000910;closed;1;04/10/2013 10:29:57;;04/10/2013 11:08:45;04/10/2013 11:08:48;0,6475;Other;1;SD0005553;;;;DSK000367;computer;Desktop;WBS000091;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DTA000016;application;Desktop Application;WBS000096;IM0002608;Closed;4;4;4;incident;KM0001026;closed;0;04/10/2013 10:38:38;;04/10/2013 15:07:10;04/10/2013 15:07:20;4,478333333;User error;1;SD0005574;;;;DTA000016;application;Desktop Application;WBS000096;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBA000338;application;Server Based Application;WBS000169;IM0002609;Closed;3;3;3;incident;KM0000327;closed;0;04/10/2013 10:43:54;;04/10/2013 11:28:24;04/10/2013 11:29:09;0,754166667;Operator error;1;SD0005583;;;;SBA000338;application;Server Based Application;WBS000169;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LAP000217;computer;Laptop;WBS000187;IM0002610;Closed;5;5;5;incident;KM0001447;closed;2;04/10/2013 10:47:24;;09/10/2013 15:52:01;09/10/2013 15:52:07;24,16083333;Hardware;1;SD0005584;;;;LAP000217;computer;Laptop;WBS000187;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBA000088;application;Server Based Application;WBS000017;IM0002611;Closed;5;5;5;incident;KM0000096;closed;0;04/10/2013 10:47:27;;04/10/2013 13:30:51;04/10/2013 13:30:54;0,178611111;Data;1;SD0005581;;;;SBA000088;application;Server Based Application;WBS000017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
