CI Name (aff);CI Type (aff);CI Subtype (aff);Service Comp WBS (aff);Interaction ID;Status;Impact;Urgency;Priority;Category;KM number;Open Time (First Touch);Close Time;Closure Code;First Call Resolution;Handle Time (secs);Related Incident
DTA000031;application;Desktop Application;WBS000111;SD0014986;Closed;5;5;5;incident;KM0002029;16-10-2013 11:05;18-10-2013 15:09;Hardware;N;92;IM0004179
SBA000659;application;Server Based Application;WBS000128;SD0014987;Closed;4;4;4;incident;KM0002059;16-10-2013 11:06;16-10-2013 12:12;Software;N;247;IM0005999
DTA000064;application;Desktop Application;WBS000094;SD0014988;Closed;5;5;5;request for information;KM0000543;16-10-2013 11:06;16-10-2013 11:19;Other;Y;753;
DTA000616;application;Desktop Application;WBS000092;SD0014989;Closed;5;5;5;request for information;KM0000507;16-10-2013 11:06;16-10-2013 11:10;User error;Y;221;
SBA000730;application;Server Based Application;WBS000101;SD0014990;Closed;3;3;3;incident;KM0001221;16-10-2013 11:07;16-10-2013 11:11;Hardware;Y;239;
COM000003;computer;Omgeving;WBS000098;SD0014991;Closed;5;5;5;request for information;KM0001385;16-10-2013 11:17;16-10-2013 11:20;User manual not used;Y;124;
EXC000002;application;Exchange;WBS000211;SD0014992;Closed;5;5;5;incident;KM0000039;16-10-2013 11:17;16-10-2013 11:25;Other;Y;446;
SBA000462;application;Server Based Application;WBS000073;SD0014993;Closed;4;4;4;incident;KM0001773;16-10-2013 11:18;16-10-2013 11:19;Software;Y;55;
EXC000004;application;Exchange;WBS000094;SD0014994;Closed;5;5;5;request for information;KM0001237;16-10-2013 11:21;16-10-2013 11:30;No error - works as designed;Y;510;
SBA000017;application;Server Based Application;WBS000099;SD0014995;Closed;3;3;3;incident;KM0000480;16-10-2013 11:22;16-10-2013 12:57;Operator error;N;443;IM0006000
WBA000148;application;Web Based Application;WBS000172;SD0014996;Closed;4;4;4;incident;KM0002068;16-10-2013 11:26;16-10-2013 11:27;Referred;Y;43;
DTA000025;application;Desktop Application;WBS000110;SD0014997;Closed;5;5;5;request for information;KM0000897;16-10-2013 11:28;16-10-2013 11:35;No error - works as designed;Y;384;
WBA000133;application;Web Based Application;WBS000073;SD0014998;Closed;4;5;4;incident;KM0000711;16-10-2013 11:30;16-10-2013 11:36;Other;Y;362;
WBA000148;application;Web Based Application;WBS000172;SD0014999;Closed;4;4;4;incident;KM0002068;16-10-2013 11:30;16-10-2013 11:32;Software;Y;139;
EXC000004;application;Exchange;WBS000094;SD0015000;Closed;5;5;5;request for information;KM0001237;16-10-2013 11:30;16-10-2013 11:31;No error - works as designed;Y;53;
SAN000182;storage;SAN;WBS000128;SD0015001;Closed;5;5;5;request for information;KM0001674;16-10-2013 11:32;16-10-2013 11:52;Other;Y;1567;
SBA000462;application;Server Based Application;WBS000073;SD0015002;Closed;4;4;4;incident;KM0001773;16-10-2013 11:34;16-10-2013 11:38;User manual not used;Y;230;
SBA000747;application;Server Based Application;WBS000326;SD0015003;Closed;3;3;3;incident;KM0001492;16-10-2013 11:37;16-10-2013 11:43;Referred;Y;333;
DTA000057;application;Desktop Application;WBS000094;SD0015004;Closed;5;5;5;request for information;KM0001809;16-10-2013 11:37;16-10-2013 11:41;Software;Y;190;
SBA000462;application;Server Based Application;WBS000073;SD0015005;Closed;4;4;4;incident;KM0001770;16-10-2013 11:40;16-10-2013 11:46;Other;Y;395;
WBA000128;application;Web Based Application;WBS000063;SD0015006;Closed;4;4;4;incident;KM0000687;16-10-2013 11:41;17-10-2013 14:13;Operator error;N;668;IM0006003
SBA000462;application;Server Based Application;WBS000073;SD0015007;Closed;4;4;4;incident;KM0001862;16-10-2013 11:43;17-10-2013 11:19;Other;N;201;IM0006001
SUB000455;subapplication;Web Based Application;WBS000073;SD0015008;Closed;4;4;4;incident;KM0001728;16-10-2013 11:43;16-10-2013 14:05;Data;N;210;IM0006002
WBA000126;application;Web Based Application;WBS000148;SD0015009;Closed;5;4;4;request for information;KM0000632;16-10-2013 11:43;16-10-2013 11:44;Software;Y;70;
SBA000698;application;Server Based Application;WBS000090;SD0015010;Closed;4;4;4;incident;KM0001526;16-10-2013 11:44;16-10-2013 11:50;Software;Y;365;
SAN000182;storage;SAN;WBS000128;SD0015011;Closed;5;5;5;incident;KM0000450;16-10-2013 11:45;16-10-2013 11:45;Operator error;Y;50;
SUB000479;subapplication;Web Based Application;WBS000015;SD0015012;Closed;4;4;4;incident;KM0000453;16-10-2013 11:47;16-10-2013 11:49;Referred;Y;174;
SUB000456;subapplication;Web Based Application;WBS000073;SD0015013;Closed;4;4;4;incident;KM0001179;16-10-2013 11:49;16-10-2013 11:53;Other;Y;277;
SBA000729;application;Server Based Application;WBS000101;SD0015014;Closed;4;4;4;incident;KM0001584;16-10-2013 11:52;16-10-2013 11:55;Other;Y;211;
SBA000317;application;Server Based Application;WBS000048;SD0015015;Closed;4;4;4;incident;KM0000312;16-10-2013 11:52;17-10-2013 12:38;Other;N;1264;IM0006007
SUB000049;subapplication;Server Based Application;WBS000033;SD0015016;Closed;3;3;3;incident;KM0001274;16-10-2013 11:53;18-10-2013 9:17;Software;N;0;IM0006006
WBA000148;application;Web Based Application;WBS000172;SD0015017;Closed;5;5;5;incident;KM0001979;16-10-2013 11:53;22-10-2013 15:00;Software;N;502;IM0006005
WBA000060;application;Web Based Application;WBS000073;SD0015018;Closed;4;4;4;incident;KM0000828;16-10-2013 11:54;16-10-2013 11:58;Software;Y;276;
DTA000616;application;Desktop Application;WBS000092;SD0015019;Closed;4;4;4;incident;KM0001968;16-10-2013 11:55;30-10-2013 16:33;Other;N;1673;IM0006009
SBA000317;application;Server Based Application;WBS000048;SD0015020;Closed;3;3;3;incident;KM0001583;16-10-2013 11:56;17-10-2013 8:52;No error - works as designed;N;242;IM0006004
COM000003;computer;Omgeving;WBS000098;SD0015021;Closed;5;5;5;request for information;KM0001385;16-10-2013 11:58;16-10-2013 12:07;Other;Y;558;
SBA000172;application;Server Based Application;WBS000014;SD0015022;Closed;3;3;3;incident;KM0000426;16-10-2013 12:00;16-10-2013 12:01;Referred;Y;106;
CBA000009;application;Client Based Application;WBS000098;SD0015023;Closed;4;4;4;incident;KM0000145;16-10-2013 12:02;25-10-2013 8:41;Software;N;756;IM0006008
SBA000812;application;Server Based Application;WBS000223;SD0015024;Closed;4;4;4;incident;KM0000949;16-10-2013 12:03;16-10-2013 12:07;Software;Y;246;
SBA000010;application;Server Based Application;WBS000186;SD0015025;Closed;4;4;4;incident;KM0001957;16-10-2013 12:09;16-10-2013 12:18;Software;Y;564;
SBA000010;application;Server Based Application;WBS000186;SD0015026;Closed;4;4;4;incident;KM0000508;16-10-2013 12:09;16-10-2013 12:15;Software;Y;725;
DTA000616;application;Desktop Application;WBS000092;SD0015027;Closed;4;4;4;incident;KM0001968;16-10-2013 12:14;16-10-2013 12:21;Other;Y;454;
DTA000616;application;Desktop Application;WBS000092;SD0015028;Closed;4;4;4;incident;KM0001652;16-10-2013 12:18;16-10-2013 12:32;Other;Y;859;
LAP000451;computer;Laptop;WBS000091;SD0015029;Closed;5;5;5;incident;KM0001444;16-10-2013 12:23;23-10-2013 16:31;Hardware;N;1650;IM0006012
DTA000019;application;Desktop Application;WBS000093;SD0015030;Closed;5;5;5;incident;KM0001337;16-10-2013 12:24;16-10-2013 12:27;Hardware;Y;157;
SUB000113;subapplication;Server Based Application;WBS000095;SD0015031;Closed;4;4;4;incident;KM0000223;16-10-2013 12:28;16-10-2013 15:46;Software;N;716;IM0006011
SBA000626;application;Server Based Application;WBS000255;SD0015032;Closed;4;4;4;incident;KM0000588;16-10-2013 12:30;22-10-2013 17:09;Data;N;305;IM0006010
SAN000178;storage;SAN;WBS000128;SD0015033;Closed;4;4;4;incident;KM0000036;16-10-2013 12:32;16-10-2013 12:38;Referred;Y;363;
SAN000182;storage;SAN;WBS000128;SD0015034;Closed;5;5;5;request for information;KM0000998;16-10-2013 12:40;16-10-2013 12:46;Referred;Y;386;
SUB000436;subapplication;Web Based Application;WBS000073;SD0015035;Closed;5;5;5;incident;KM0000713;16-10-2013 12:40;16-10-2013 14:34;Other;N;1249;IM0006013
DTA000036;application;Desktop Application;WBS000093;SD0015036;Closed;4;4;4;incident;KM0001899;16-10-2013 12:40;16-10-2013 12:53;Software;Y;788;
SBA000518;application;Server Based Application;WBS000321;SD0015037;Closed;5;5;5;incident;KM0002035;16-10-2013 12:47;16-10-2013 12:48;Other;Y;83;
SBA000435;application;Server Based Application;WBS000271;SD0015038;Closed;5;5;5;incident;KM0001187;16-10-2013 12:58;16-10-2013 13:04;Software;Y;321;
DTA000023;application;Desktop Application;WBS000093;SD0015039;Closed;4;4;4;incident;KM0001306;16-10-2013 13:01;16-10-2013 13:11;Referred;Y;638;
CBD000399;computer;Banking Device;WBS000146;SD0015040;Closed;3;3;3;incident;KM0000274;16-10-2013 13:01;16-10-2013 13:42;Hardware;N;193;IM0006014
SBA000729;application;Server Based Application;WBS000101;SD0015041;Closed;4;4;4;incident;KM0000866;16-10-2013 13:09;16-10-2013 13:10;Software;Y;74;
STA000012;application;Standard Application;WBS000120;SD0015042;Closed;5;5;5;incident;KM0000315;16-10-2013 13:15;16-10-2013 13:19;Unknown;Y;249;
SUB000456;subapplication;Web Based Application;WBS000073;SD0015043;Closed;4;4;4;incident;KM0000769;16-10-2013 13:18;17-10-2013 16:31;Data;N;496;IM0000812
WBA000124;application;Web Based Application;WBS000088;SD0015044;Closed;5;5;5;request for information;KM0000334;16-10-2013 13:19;16-10-2013 13:21;Referred;Y;100;
SBA000729;application;Server Based Application;WBS000101;SD0015045;Closed;4;4;4;incident;KM0001584;16-10-2013 13:21;16-10-2013 13:25;Software;Y;244;
SBA000729;application;Server Based Application;WBS000101;SD0015046;Closed;4;4;4;incident;KM0000866;16-10-2013 13:22;16-10-2013 13:34;Software;Y;762;
APP000005;application;Citrix;WBS000292;SD0015047;Closed;4;4;4;incident;KM0001060;16-10-2013 13:25;16-10-2013 13:33;Software;Y;492;
SBA000607;application;Server Based Application;WBS000263;SD0015048;Closed;5;5;5;request for information;KM0001877;16-10-2013 13:26;16-10-2013 13:43;Referred;Y;982;
SBA000026;application;Server Based Application;WBS000223;SD0015049;Closed;4;4;4;incident;KM0000032;16-10-2013 13:30;16-10-2013 13:36;Other;Y;361;
APP000005;application;Citrix;WBS000292;SD0015050;Closed;5;5;5;incident;KM0001058;16-10-2013 13:33;16-10-2013 13:40;Other;Y;382;
SBA000172;application;Server Based Application;WBS000014;SD0015051;Closed;3;3;3;incident;KM0000426;16-10-2013 13:34;16-10-2013 13:36;Other;Y;118;
DTA000036;application;Desktop Application;WBS000093;SD0015052;Closed;4;4;4;incident;KM0001899;16-10-2013 13:35;16-10-2013 13:36;Other;Y;62;
VDI001026;computer;VDI;WBS000292;SD0015053;Closed;5;5;5;incident;KM0000036;16-10-2013 13:37;16-10-2013 13:39;Other;Y;138;
DTA000012;application;Desktop Application;WBS000092;SD0015054;Closed;4;4;4;incident;KM0000186;16-10-2013 13:40;16-10-2013 13:46;No error - works as designed;Y;374;
SUB000456;subapplication;Web Based Application;WBS000073;SD0015055;Closed;5;5;5;incident;KM0001095;16-10-2013 13:40;16-10-2013 13:50;Other;Y;562;
SUB000456;subapplication;Web Based Application;WBS000073;SD0015056;Closed;4;4;4;incident;KM0000767;16-10-2013 11:19;16-10-2013 11:39;Software;Y;1247;
DTA000616;application;Desktop Application;WBS000092;SD0015057;Closed;5;5;5;request for information;KM0000507;16-10-2013 11:20;16-10-2013 11:26;User manual not used;Y;341;
WBA000148;application;Web Based Application;WBS000172;SD0015058;Closed;4;4;4;incident;KM0002068;16-10-2013 11:21;16-10-2013 11:24;Software;Y;202;
WBA000148;application;Web Based Application;WBS000172;SD0015059;Closed;4;4;4;incident;KM0002068;16-10-2013 11:21;16-10-2013 11:22;Software;Y;58;
SBA000357;application;Server Based Application;WBS000216;SD0015060;Closed;3;3;3;incident;KM0000906;16-10-2013 11:24;24-10-2013 9:45;Software;N;273;IM0005853
WBA000003;application;Web Based Application;WBS000005;SD0015061;Closed;4;4;4;incident;KM0001100;16-10-2013 11:25;16-10-2013 12:36;No error - works as designed;N;892;IM0005949
SBA000659;application;Server Based Application;WBS000128;SD0015062;Closed;5;5;5;request for information;KM0000619;16-10-2013 11:26;16-10-2013 11:31;User error;Y;350;
DTA000057;application;Desktop Application;WBS000094;SD0015063;Closed;5;5;5;incident;KM0001655;16-10-2013 11:31;16-10-2013 11:39;Other;Y;500;
SBA000462;application;Server Based Application;WBS000073;SD0015064;Closed;4;4;4;incident;KM0001915;16-10-2013 11:31;16-10-2013 11:52;Other;N;251;IM0005947
SBA000462;application;Server Based Application;WBS000073;SD0015065;Closed;4;4;4;incident;KM0001363;16-10-2013 11:34;16-10-2013 13:37;Other;N;583;IM0005950
DTA000614;application;Desktop Application;WBS000212;SD0015066;Closed;4;4;4;incident;KM0000467;16-10-2013 11:34;16-10-2013 11:35;Software;Y;94;
DTA000025;application;Desktop Application;WBS000110;SD0015067;Closed;5;5;5;request for information;KM0000897;16-10-2013 11:34;16-10-2013 11:45;Other;Y;625;
WBA000133;application;Web Based Application;WBS000073;SD0015068;Closed;4;4;4;incident;KM0000734;16-10-2013 11:35;16-10-2013 11:36;Software;Y;56;
SUB000456;subapplication;Web Based Application;WBS000073;SD0015069;Closed;4;4;4;incident;KM0000748;16-10-2013 11:35;16-10-2013 12:11;Software;N;475;IM0005951
SBA000759;application;Server Based Application;WBS000296;SD0015070;Closed;3;3;3;incident;KM0001253;16-10-2013 11:37;16-10-2013 13:16;Software;N;132;IM0005948
DTA000023;application;Desktop Application;WBS000093;SD0015071;Closed;4;4;4;incident;KM0001938;16-10-2013 11:38;16-10-2013 11:45;Software;Y;419;
SSW000068;software;System Software;WBS000134;SD0015072;Closed;4;4;4;incident;KM0000191;16-10-2013 11:38;16-10-2013 11:50;Software;Y;732;
WBA000148;application;Web Based Application;WBS000172;SD0015073;Closed;4;4;4;incident;KM0002068;16-10-2013 11:39;16-10-2013 11:45;Software;Y;326;
SBA000172;application;Server Based Application;WBS000014;SD0015074;Closed;3;3;3;incident;KM0000426;16-10-2013 11:41;16-10-2013 11:44;Referred;Y;185;
DSK000611;computer;Desktop;WBS000091;SD0015075;Closed;5;5;5;incident;KM0000315;16-10-2013 11:41;16-10-2013 12:34;Hardware;N;257;IM0005952
WBA000148;application;Web Based Application;WBS000172;SD0015076;Closed;4;4;4;incident;KM0002068;16-10-2013 11:43;16-10-2013 11:46;Software;Y;317;
WBA000060;application;Web Based Application;WBS000073;SD0015077;Closed;4;4;4;incident;KM0000825;16-10-2013 11:45;16-10-2013 11:56;Software;Y;641;
SBA000659;application;Server Based Application;WBS000128;SD0015078;Closed;4;4;4;incident;KM0002059;16-10-2013 11:45;16-10-2013 12:23;Software;N;63;IM0005953
SBA000086;application;Server Based Application;WBS000256;SD0015079;Closed;5;5;5;incident;KM0001000;16-10-2013 11:46;16-10-2013 11:59;Referred;Y;779;
WBA000133;application;Web Based Application;WBS000073;SD0015080;Closed;4;4;4;incident;KM0001452;16-10-2013 11:46;16-10-2013 14:07;Data;N;267;IM0005954
SUB000456;subapplication;Web Based Application;WBS000073;SD0015081;Closed;4;4;4;incident;KM0000741;16-10-2013 11:49;16-10-2013 11:54;No error - works as designed;Y;310;
SBA000172;application;Server Based Application;WBS000014;SD0015082;Closed;3;3;3;incident;KM0000426;16-10-2013 11:51;18-10-2013 11:15;User error;N;711;IM0005956
SBA000629;application;Server Based Application;WBS000030;SD0015083;Closed;5;5;5;incident;KM0000164;16-10-2013 11:52;16-10-2013 11:57;Other;Y;329;
WBA000079;application;Web Based Application;WBS000273;SD0015084;Closed;3;3;3;incident;KM0001529;16-10-2013 11:53;23-10-2013 10:40;Other;N;1605;IM0005958
OVR000067;no type;no subtype;WBS000102;SD0015085;Closed;4;4;4;incident;KM0000036;16-10-2013 11:55;16-10-2013 12:04;Other;Y;665;
CBA000014;application;Client Based Application;WBS000073;SD0015086;Closed;3;3;3;request for information;KM0001952;16-10-2013 11:55;16-10-2013 12:27;No error - works as designed;N;425;IM0005955
WBA000133;application;Web Based Application;WBS000073;SD0015087;Closed;4;4;4;incident;KM0001259;16-10-2013 11:56;16-10-2013 12:11;Other;Y;888;
SBA000462;application;Server Based Application;WBS000073;SD0015088;Closed;4;4;4;incident;KM0001681;16-10-2013 11:57;16-10-2013 12:03;User manual not used;Y;342;
SBA000462;application;Server Based Application;WBS000073;SD0015089;Closed;4;4;4;incident;KM0001862;16-10-2013 11:59;17-10-2013 11:24;Other;N;420;IM0005957
SBA000671;application;Server Based Application;WBS000100;SD0015090;Closed;4;4;4;incident;KM0000629;16-10-2013 12:01;16-10-2013 12:07;Software;Y;323;
SBA000659;application;Server Based Application;WBS000128;SD0015091;Closed;5;5;5;incident;KM0001004;16-10-2013 12:03;16-10-2013 12:05;Other;Y;128;
SAN000182;storage;SAN;WBS000128;SD0015092;Closed;5;5;5;request for information;KM0000683;16-10-2013 12:04;16-10-2013 12:05;Other;Y;95;
SBA000462;application;Server Based Application;WBS000073;SD0015093;Closed;4;4;4;incident;KM0001822;16-10-2013 12:06;16-10-2013 12:08;Other;Y;167;
SUB000455;subapplication;Web Based Application;WBS000073;SD0015094;Closed;5;5;5;request for information;KM0001728;16-10-2013 12:10;16-10-2013 12:11;Inquiry;N;278;IM0005496
WBA000133;application;Web Based Application;WBS000073;SD0015095;Closed;4;4;4;incident;KM0000734;16-10-2013 12:10;16-10-2013 12:16;Software;Y;320;
SBA000464;application;Server Based Application;WBS000073;SD0015096;Closed;5;5;5;incident;KM0001561;16-10-2013 12:11;16-10-2013 12:28;Software;Y;998;
WBA000133;application;Web Based Application;WBS000073;SD0015097;Closed;4;4;4;incident;KM0000945;16-10-2013 12:11;16-10-2013 12:17;User manual not used;Y;310;
APP000005;application;Citrix;WBS000292;SD0015098;Closed;4;4;4;incident;KM0001059;16-10-2013 12:13;16-10-2013 12:17;Other;Y;278;
SBA000729;application;Server Based Application;WBS000101;SD0015099;Closed;4;4;4;incident;KM0000867;16-10-2013 12:16;16-10-2013 12:31;Hardware;Y;899;
DTA000616;application;Desktop Application;WBS000092;SD0015100;Closed;5;5;5;request for information;KM0000507;16-10-2013 12:24;16-10-2013 12:31;User error;Y;394;
WBA000058;application;Web Based Application;WBS000073;SD0015101;Closed;4;4;4;incident;KM0001224;16-10-2013 12:28;16-10-2013 12:29;Software;Y;53;
SBA000073;application;Server Based Application;WBS000017;SD0015102;Closed;4;4;4;incident;KM0000094;16-10-2013 12:30;16-10-2013 16:16;Other;N;1704;IM0005960
SBA000462;application;Server Based Application;WBS000073;SD0015103;Closed;4;4;4;incident;KM0001883;16-10-2013 12:31;16-10-2013 12:33;Other;Y;129;
COM000003;computer;Omgeving;WBS000098;SD0015104;Closed;4;4;4;incident;KM0000911;16-10-2013 12:32;16-10-2013 12:41;Other;Y;570;
SUB000456;subapplication;Web Based Application;WBS000073;SD0015105;Closed;4;4;4;incident;KM0000753;16-10-2013 12:32;17-10-2013 7:18;Other;N;364;IM0005959
SBA000464;application;Server Based Application;WBS000073;SD0015106;Closed;4;4;4;incident;KM0001316;16-10-2013 12:38;16-10-2013 12:52;Software;Y;816;
WBA000133;application;Web Based Application;WBS000073;SD0015107;Closed;5;5;5;incident;KM0001664;16-10-2013 12:42;16-10-2013 12:44;Other;Y;126;
SBA000729;application;Server Based Application;WBS000101;SD0015108;Closed;4;4;4;incident;KM0000867;16-10-2013 12:42;16-10-2013 12:49;Software;Y;377;
WBA000148;application;Web Based Application;WBS000172;SD0015109;Closed;5;5;5;incident;KM0001979;16-10-2013 12:52;16-10-2013 13:02;Software;Y;613;
CBA000014;application;Client Based Application;WBS000073;SD0015110;Closed;4;4;4;incident;KM0001346;16-10-2013 12:59;22-10-2013 9:49;Other;N;3061;IM0006035
WBA000133;application;Web Based Application;WBS000073;SD0015111;Closed;4;5;4;incident;KM0000711;16-10-2013 13:02;16-10-2013 13:15;Other;Y;759;
WBA000133;application;Web Based Application;WBS000073;SD0015112;Closed;4;4;4;incident;KM0001289;16-10-2013 13:08;16-10-2013 13:27;Other;Y;1150;
SBA000026;application;Server Based Application;WBS000223;SD0015113;Closed;4;4;4;incident;KM0000032;16-10-2013 13:09;6-11-2013 11:51;Operator error;N;78;IM0006031
SBA000805;application;Server Based Application;WBS000016;SD0015114;Closed;3;3;3;incident;KM0000938;16-10-2013 13:12;16-10-2013 13:14;Software;Y;119;
SSW000068;software;System Software;WBS000134;SD0015115;Closed;4;4;4;incident;KM0001339;16-10-2013 13:17;16-10-2013 13:35;Other;Y;1107;
SBA000010;application;Server Based Application;WBS000186;SD0015116;Closed;4;4;4;incident;KM0000508;16-10-2013 13:17;16-10-2013 13:26;Software;Y;549;
MON00027;displaydevice;Monitor;WBS000091;SD0015117;Closed;4;4;4;incident;KM0000316;16-10-2013 13:18;28-10-2013 8:20;Hardware;N;1171;IM0006032
MON00027;displaydevice;Monitor;WBS000091;SD0015118;Closed;4;4;4;incident;KM0000316;16-10-2013 13:18;28-10-2013 8:21;Hardware;N;1184;IM0006033
WBA000144;application;Web Based Application;WBS000318;SD0015119;Closed;4;4;4;incident;KM0001401;16-10-2013 13:18;16-10-2013 13:25;Software;Y;385;
DTA000616;application;Desktop Application;WBS000092;SD0015120;Closed;3;3;3;incident;KM0001783;16-10-2013 13:19;16-10-2013 13:25;Software;Y;369;
WBA000133;application;Web Based Application;WBS000073;SD0015121;Closed;4;4;4;incident;KM0001289;16-10-2013 13:20;16-10-2013 13:27;Other;Y;391;
SBA000462;application;Server Based Application;WBS000073;SD0015122;Closed;4;4;4;incident;KM0001778;16-10-2013 13:25;16-10-2013 13:37;Software;Y;735;
WBA000068;application;Web Based Application;WBS000171;SD0015123;Closed;4;5;4;incident;KM0000395;16-10-2013 13:28;16-10-2013 13:37;Software;Y;562;
SBA000026;application;Server Based Application;WBS000223;SD0015124;Closed;4;4;4;incident;KM0000777;16-10-2013 13:29;16-10-2013 13:37;Other;Y;478;
DTA000057;application;Desktop Application;WBS000094;SD0015125;Closed;5;5;5;request for information;KM0001809;16-10-2013 13:34;16-10-2013 13:42;Software;Y;474;
OVR000033;no type;no subtype;WBS000118;SD0015126;Closed;5;5;5;incident;KM0001172;16-10-2013 12:27;16-10-2013 12:33;Other;Y;372;
SBA000805;application;Server Based Application;WBS000016;SD0015127;Closed;3;3;3;incident;KM0000938;16-10-2013 12:30;16-10-2013 12:34;Software;N;134;IM0005974
SUB000113;subapplication;Server Based Application;WBS000095;SD0015128;Closed;5;5;5;incident;KM0001545;16-10-2013 12:40;16-10-2013 12:47;Software;Y;414;
WBA000133;application;Web Based Application;WBS000073;SD0015129;Closed;4;4;4;incident;KM0000734;16-10-2013 12:43;16-10-2013 12:52;Software;Y;511;
SUB000004;subapplication;Client Based Application;WBS000096;SD0015130;Closed;4;4;4;incident;KM0001130;16-10-2013 12:59;16-10-2013 13:02;No error - works as designed;Y;188;
WBA000008;application;Web Based Application;WBS000167;SD0015131;Closed;5;5;5;incident;KM0000070;16-10-2013 13:01;16-10-2013 13:07;Other;Y;390;
DTA000056;application;Desktop Application;WBS000091;SD0015132;Closed;3;3;3;incident;KM0001012;16-10-2013 13:03;16-10-2013 13:19;Other;Y;987;
DCE000123;hardware;DataCenterEquipment;WBS000267;SD0015133;Closed;3;3;3;incident;KM0001631;16-10-2013 13:08;16-10-2013 15:26;Hardware;N;288;IM0005975
DTA000031;application;Desktop Application;WBS000111;SD0015134;Closed;5;5;5;incident;KM0002029;16-10-2013 13:08;16-10-2013 15:49;Software;N;563;IM0005976
EXC000001;application;Exchange;WBS000094;SD0015135;Closed;4;4;4;incident;KM0001208;16-10-2013 13:08;16-10-2013 13:10;Software;Y;98;
DTA000057;application;Desktop Application;WBS000094;SD0015136;Closed;5;5;5;incident;KM0001655;16-10-2013 13:12;16-10-2013 13:22;Software;Y;581;
WBA000133;application;Web Based Application;WBS000073;SD0015137;Closed;4;4;4;incident;KM0001043;16-10-2013 13:13;16-10-2013 13:20;User manual not used;Y;412;
WBA000148;application;Web Based Application;WBS000172;SD0015138;Closed;4;4;4;incident;KM0002068;16-10-2013 13:14;16-10-2013 13:15;Other;Y;52;
WBA000133;application;Web Based Application;WBS000073;SD0015139;Closed;4;4;4;incident;KM0000734;16-10-2013 13:19;16-10-2013 13:25;User error;Y;343;
WBA000133;application;Web Based Application;WBS000073;SD0015140;Closed;4;5;4;incident;KM0000711;16-10-2013 13:22;16-10-2013 13:23;Other;Y;90;
DTA000048;application;Desktop Application;WBS000218;SD0015141;Closed;4;4;4;incident;KM0001427;16-10-2013 13:23;16-10-2013 13:25;Hardware;Y;125;
DTA000017;application;Desktop Application;WBS000099;SD0015142;Closed;3;3;3;incident;KM0000015;16-10-2013 13:23;16-10-2013 13:40;Software;N;162;IM0005977
DTA000057;application;Desktop Application;WBS000094;SD0015143;Closed;5;5;5;incident;KM0001205;16-10-2013 13:25;16-10-2013 13:34;Software;Y;527;
WBA000017;application;Web Based Application;WBS000138;SD0015144;Closed;3;3;3;incident;KM0001213;16-10-2013 13:25;16-10-2013 13:55;Unknown;Y;1806;
WBA000133;application;Web Based Application;WBS000073;SD0015145;Closed;5;5;5;incident;KM0000850;16-10-2013 13:30;21-10-2013 14:35;Software;N;326;IM0005978
SSW000068;software;System Software;WBS000134;SD0015146;Closed;4;4;4;incident;KM0001339;16-10-2013 13:30;31-10-2013 9:15;Other;N;555;IM0005979
SBA000010;application;Server Based Application;WBS000186;SD0015147;Closed;4;4;4;incident;KM0000508;16-10-2013 13:31;16-10-2013 13:44;Software;Y;772;
CBD000583;computer;Banking Device;WBS000146;SD0015148;Closed;5;5;5;incident;KM0000266;16-10-2013 13:31;16-10-2013 13:42;Operator error;Y;656;
SUB000456;subapplication;Web Based Application;WBS000073;SD0015149;Closed;4;4;4;incident;KM0000767;16-10-2013 13:35;16-10-2013 13:42;Other;Y;460;
WBA000144;application;Web Based Application;WBS000318;SD0015150;Closed;4;4;4;request for information;KM0000846;16-10-2013 13:41;16-10-2013 13:42;Inquiry;N;486;IM0005899
DTA000616;application;Desktop Application;WBS000092;SD0015151;Closed;3;3;3;incident;KM0001373;16-10-2013 13:43;16-10-2013 13:47;Software;Y;246;
OVR000033;no type;no subtype;WBS000118;SD0015152;Closed;5;5;5;incident;KM0001172;16-10-2013 13:44;16-10-2013 13:55;Other;Y;655;
CBD000393;computer;Banking Device;WBS000146;SD0015153;Closed;3;3;3;incident;KM0000274;16-10-2013 13:46;16-10-2013 16:29;Hardware;N;113;IM0005980
DTA000591;application;Desktop Application;WBS000092;SD0015154;Closed;4;4;4;incident;KM0000468;16-10-2013 13:47;16-10-2013 13:49;Software;Y;125;
WBA000133;application;Web Based Application;WBS000073;SD0015155;Closed;4;4;4;incident;KM0001289;16-10-2013 13:55;16-10-2013 13:56;Other;Y;44;
SBA000464;application;Server Based Application;WBS000073;SD0015156;Closed;4;4;4;incident;KM0001316;16-10-2013 13:57;16-10-2013 14:05;User error;Y;475;
DTA000616;application;Desktop Application;WBS000092;SD0015157;Closed;4;4;4;incident;KM0001968;16-10-2013 13:58;16-10-2013 14:02;Other;Y;241;
SBA000122;application;Server Based Application;WBS000018;SD0015158;Closed;4;4;4;incident;KM0002047;16-10-2013 14:00;16-10-2013 14:02;Unknown;Y;116;
SBA000607;application;Server Based Application;WBS000263;SD0015159;Closed;5;5;5;request for information;KM0001877;16-10-2013 14:00;16-10-2013 14:03;Software;Y;135;
WBA000018;application;Web Based Application;WBS000073;SD0015160;Closed;4;4;4;incident;KM0000720;16-10-2013 14:02;17-10-2013 9:49;Other;N;764;IM0005983
